source	target	is_directed	is_stimulation	is_inhibition	dip_url
6714	4035	1	1	0	NA
5516	6714	1	0	0	NA
6714	50649	1	1	0	NA
6714	3880	1	0	0	NA
6714	1606	1	1	0	NA
6714	1588	1	1	0	NA
6714	100506658	1	0	0	NA
11099	6714	1	1	0	NA
6714	10254	1	0	0	NA
6714	27071	1	1	0	NA
6714	8842	1	0	0	NA
55715	6714	1	1	0	NA
6714	3683	1	0	1	NA
6714	1605	1	1	1	NA
5795	6714	1	1	0	NA
6714	831	1	0	0	NA
6714	9019	1	1	0	NA
6714	3105	1	0	0	NA
6714	23396	1	1	0	NA
6714	3695	1	1	0	NA
6714	2395	1	0	0	NA
6714	55177	1	0	0	NA
6714	2769	1	0	0	NA
6714	10979	1	0	0	NA
6714	285590	1	0	0	NA
6714	79585	1	0	0	NA
6714	1119	1	0	0	NA
6714	51497	1	0	0	NA
6714	60312	1	0	0	NA
6714	84466	1	0	0	NA
6714	2983	1	0	0	NA
6714	23558	1	0	0	NA
6714	3752	1	0	0	NA
6714	115352	1	0	0	NA
6714	4729	1	0	0	NA
6714	754	1	0	0	NA
25930	6714	1	0	0	NA
6714	54602	1	0	0	NA
6714	10015	1	0	0	NA
6714	10849	1	0	0	NA
6714	9774	1	0	0	NA
6714	5238	1	0	0	NA
6714	3106	1	0	0	NA
6714	2213	1	1	0	NA
6714	1420	1	0	0	NA
6714	1419	1	0	0	NA
6714	4832	1	0	0	NA
6714	6710	1	0	0	NA
6714	433	1	0	0	NA
6714	9046	1	0	0	NA
6714	10825	1	0	0	NA
6714	9103	1	1	0	NA
6714	3017	1	0	0	NA
6714	8339	1	0	0	NA
6714	8343	1	0	0	NA
6714	8344	1	0	0	NA
6714	8346	1	0	0	NA
6714	8347	1	0	0	NA
6714	7064	1	0	0	NA
10278	6714	0	0	0	NA
6714	139341	1	0	1	NA
5783	3667	1	0	1	NA
5783	4792	1	1	1	NA
